postal_code,location_name,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,visual_center_x,visual_center_y,changed_at,geo_changed_at,geo_version,dagi_id
1153,Koebenhavn K,12.5754334,55.67860665,12.57837438,55.6805874,12.57741313,55.67913736,2018-04-30T15:23:13.528Z,2018-01-16T22:10:42.686Z,2,191153
1154,Koebenhavn K,12.57493426,55.67917563,12.57666415,55.68034596,12.5758435,55.67961793,2018-04-30T15:23:13.528Z,2018-01-16T22:10:42.686Z,2,191154
1155,Koebenhavn K,12.5751409,55.67981302,12.57583303,55.68021225,12.57544104,55.68007367,2018-04-30T15:23:13.528Z,2018-01-16T22:10:42.686Z,2,191155
1156,Koebenhavn K,12.57504813,55.6793482,12.57554343,55.67969661,12.57530761,55.67957221,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191156
1157,Koebenhavn K,12.57441748,55.67867874,12.57641481,55.67969095,12.57544281,55.67907168,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191157
1158,Koebenhavn K,12.57327582,55.67846071,12.57389834,55.67883662,12.57361214,55.67861951,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191158
1159,Koebenhavn K,12.57219924,55.67826867,12.57663519,55.68126848,12.57608635,55.68077513,2018-07-23T21:12:25.101Z,2018-07-23T21:12:25.101Z,4,191159
1160,Koebenhavn K,12.57597473,55.67793714,12.57980771,55.67989242,12.57872573,55.67891577,2018-07-10T21:09:46.035Z,2018-07-10T21:09:46.035Z,4,191160
1161,Koebenhavn K,12.57370412,55.67795638,12.57642079,55.67923847,12.5756279,55.67850064,2019-02-13T22:04:25.816Z,2019-02-13T22:04:25.816Z,8,191161
1162,Koebenhavn K,12.57387202,55.67873219,12.57466117,55.67913004,12.57424006,55.67892784,2018-11-05T22:14:33.117Z,2018-11-05T22:14:33.117Z,4,716035
1164,Koebenhavn K,12.57286451,55.67793151,12.57403801,55.67855512,12.57338344,55.67826381,2018-04-30T15:23:13.528Z,2016-12-01T21:24:59.627Z,2,191164
